id;pembuat;pasir;batu;air
2;pemb2;3;5;3
4;pemb2;5;2;2
1;tesss1;4;1;5
6;tesss2;3;3;3
7;tesss3;3;4;4
8;tesss4;4;2;4
9;tesss5;1;4;1
10;tesss6;4;5;1
11;tesss7;3;5;4
12;tesss1;5;3;2
3;tesss1;2;2;2
5;tesss2;3;3;2
13;tesss3;1;2;3
14;tesss4;5;3;4
15;tesss5;1;1;4
16;tesss6;3;4;2
17;tesss7;4;5;5
18;tesss2;3;2;5
19;tesss3;5;1;1
20;tesss4;5;1;4
21;tesss5;2;2;2
22;tesss6;2;5;4
23;tesss1;2;5;1
24;tesss2;5;5;3
25;tesss3;5;1;2
26;tesss4;3;4;4
27;tesss5;3;5;4
28;tesss6;3;5;4
29;tesss1;3;1;4
30;tesss2;5;3;3
31;tesss3;2;5;2
32;tesss4;2;2;2
33;tesss5;4;3;3
34;tesss6;1;5;2
35;tesss1;1;2;3
36;tesss2;5;1;5
37;tesss3;1;1;2
38;tesss4;3;5;4
39;tesss5;5;2;5
40;tesss6;4;1;4
41;tesss1;1;1;5
42;tesss2;3;4;5
43;tesss3;2;2;4
44;tesss4;4;5;5
45;tesss5;5;4;4
46;tesss6;2;3;2
47;tesss1;1;1;3
48;tesss2;1;1;2
49;tesss3;2;1;3
50;tesss4;2;5;4
51;tesss5;1;3;1
52;tesss6;4;2;4
